date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
MTB028_FU_CS1.lma,1114.6806,0,no,986,1339,1432,798,1213,6,99,0.45,0.04,94,406,986,1339,1432,798,1213,1292,986,0.56,0,235,0.25,0.47
MTB030_FU_CS1.lma,965.3454,0,no,1268,845,1620,775,1362,11,254,0.55,0.04,94,681,1268,845,4697,681,1416,1292,1268,0.35,0,3147,0.31,0.8
MTB031_FU_CS1.lma,784.0098,0,no,705,1339,1503,705,1207,11,216,0.71,0.08,124,495,705,1339,1503,564,1205,1221,705,0.42,0,564,0.27,0.67
MTB032_FU_CS1.lma,792.0099,0,no,728,1010,1409,728,1125,4,63,0.57,0.04,105,264,728,1010,1409,728,1125,1174,728,0.76,0,94,0.18,0.27
MTB034_2_FND_CS1.lma,722.6757,0,no,751,798,892,634,841,2,61,0.43,0.01,43,169,751,798,3429,634,944,775,798,0.09,1,2560,0.18,0.3
MTB044_ZS_CS2.lma,466.6725,0,no,1339,751,1339,611,1025,11,438,0,-0.01,122,432,1339,751,2419,611,1168,798,1339,0.95,0,1221,0.25,0.37
MTB052_GIM_CS10.lma,250.6698,0,no,939,1526,1573,775,1300,26,178,0.33,-0.08,213,462,939,611,4720,611,2393,4697,1198,0.45,0.97,3147,0.31,0.46
MTB054_SL_CS2.lma,717.3423,0,no,634,728,1432,634,903,8,568,0.93,0,107,542,634,728,1432,634,903,1010,728,0.3,1,728,0.17,0.26
MTB064_GIM_CS13.lma,410.6718,0,no,892,751,1526,751,1305,19,225,0.25,-0.11,180,607,892,658,2560,352,1288,1503,352,0.44,0.92,1292,0.25,0.38
MTB122_SL_CS1.lma,581.3406,0,no,305,728,728,305,561,8,141,0.12,0,95,256,305,775,1104,305,837,963,775,0.46,1,446,0.28,0.48
MTB124_SN_CS2.lma,1117.3473,0,no,986,1315,1808,705,1257,22,390,0.2,0.01,120,574,986,3922,5213,352,2310,3875,1151,0.82,0.03,3569,0.35,0.48
MTB125_SN_CS2.lma,1213.3485,0,no,1104,1268,1526,658,1205,8,207,0.48,0.04,79,351,587,1268,5847,587,2222,798,3593,0.05,0.34,4720,0.29,0.47
MTB128_FU_CS2.lma,688.0086,0,no,1080,1080,1456,751,1309,7,132,0.48,0.03,149,474,1080,1080,2888,352,1324,1432,1080,0.34,0,1432,0.23,0.44
